Num_Restaurants,TotTimeElapsed_sec,ScrapeTime_sec
1068,3462.12,3.39
1069,3465.02,2.9
1070,3468.28,3.26
1071,3471.45,3.17
1072,3473.95,2.5
1073,3478.14,4.19
1074,3481.06,2.92
1075,3483.56,2.5
1076,3486.58,3.02
1077,3490.27,3.69
1078,3492.97,2.7
1079,3496.81,3.84
1080,3499.22,2.41
1081,3508.42,9.2
1082,3511.25,2.83
1083,3514.48,3.23
1084,3517.67,3.19
1085,3520.83,3.16
1086,3523.39,2.56
1087,3527.19,3.8
1088,3530.02,2.83
1089,3533.44,3.42
1090,3536.09,2.65
1091,3538.86,2.77
1092,3542.28,3.42
1093,3545.45,3.17
1094,3548.81,3.36
1095,3551.61,2.8
1096,3554.44,2.83
1097,3557.62,3.18
1098,3560.36,2.74
1099,3563.55,3.19
1100,3567.02,3.47
1101,3570.25,3.23
1102,3573.61,3.36
1103,3576.45,2.84
1104,3579.42,2.97
1105,3582.28,2.86
1106,3584.92,2.64
1107,3587.73,2.81
1108,3590.41,2.68
1109,3593.91,3.5
1110,3597.7,3.79
1111,3600.3,2.6
1112,3602.66,2.36
1113,3605.61,2.95
1114,3607.89,2.28
1115,3611.25,3.36
1116,3613.92,2.67
1117,3616.67,2.75
1118,3619.73,3.06
1119,3622.05,2.32
1120,3625.06,3.01
1121,3636.22,11.16
1122,3639.09,2.87
1123,3641.7,2.61
1124,3644.28,2.58
1125,3647.06,2.78
1126,3649.61,2.55
1127,3652.75,3.14
1128,3656.03,3.28
1129,3659.06,3.03
1130,3662.52,3.46
1131,3664.92,2.4
1132,3667.97,3.05
1133,3671.31,3.34
1134,3674.19,2.88
1135,3676.73,2.54
1136,3679.44,2.71
1137,3683.12,3.68
1138,3686,2.88
1139,3689,3
1140,3691.72,2.72
1141,3694.09,2.37
1142,3697.11,3.02
1143,3700.56,3.45
1144,3703.17,2.61
1145,3705.14,1.97
1146,3707.25,2.11
1147,3710.48,3.23
1148,3712.81,2.33
1149,3716.72,3.91
1150,3719.42,2.7
1151,3722.98,3.56
1152,3725.67,2.69
1153,3729.8,4.13
1154,3732.2,2.4
1155,3734.89,2.69
1156,3737.44,2.55
1157,3740.14,2.7
1158,3742.41,2.27
1159,3745.44,3.03
1160,3747.56,2.12
1161,3756.56,9
1162,3758.91,2.35
1163,3761.62,2.71
1164,3764.39,2.77
1165,3767.23,2.84
1166,3770.81,3.58
1167,3773.83,3.02
1168,3776.03,2.2
1169,3778.06,2.03
1170,3782,3.94
1171,3784.59,2.59
1172,3787.3,2.71
1173,3790.77,3.47
1174,3794.5,3.73
1175,3797.94,3.44
1176,3800.41,2.47
1177,3803.33,2.92
1178,3805.83,2.5
1179,3808.02,2.19
1180,3810.75,2.73
1181,3815.03,4.28
1182,3817.42,2.39
1183,3819.41,1.99
1184,3821.81,2.4
1185,3826.89,5.08
1186,3880.64,53.75
1187,3883.77,3.13
1188,3886.67,2.9
1189,3889.52,2.85
1190,3892.31,2.79
1191,3895.77,3.46
1192,3899.84,4.07
1193,3902.69,2.85
1194,3905.97,3.28
1195,3908.78,2.81
1196,3911.92,3.14
1197,3914.47,2.55
1198,3917.89,3.42
1199,3921,3.11
1200,3924.59,3.59
1201,3927.86,3.27
1202,3930.98,3.12
1203,3933.69,2.71
1204,3936.62,2.93
1205,3940.3,3.68
1206,3942.72,2.42
1207,3945.37,2.65
1208,3948.39,3.02
1209,3952.09,3.7
1210,3954.52,2.43
1211,3957.73,3.21
1212,3961.8,4.07
1213,3965.47,3.67
1214,3969.14,3.67
1215,3972.06,2.92
1216,3974.89,2.83
1217,3977.83,2.94
1218,3980.95,3.12
1219,3983.67,2.72
1220,3986.69,3.02
1221,3989.23,2.54
1222,3992,2.77
1223,3994.78,2.78
1224,3997.62,2.84
1225,4000.8,3.18
1226,4012.02,11.22
1227,4015,2.98
1228,4018.09,3.09
1229,4021.16,3.07
1230,4023.62,2.46
1231,4026.81,3.19
1232,4029.61,2.8
1233,4032.69,3.08
1234,4035.84,3.15
1235,4038.78,2.94
1236,4041.78,3
1237,4044.81,3.03
1238,4047.83,3.02
1239,4050.53,2.7
1240,4053.69,3.16
1241,4056.11,2.42
1242,4058.66,2.55
1243,4061.81,3.15
1244,4064.5,2.69
1245,4067.22,2.72
1246,4070.8,3.58
1247,4073.59,2.79
1248,4076.37,2.78
1249,4079.09,2.72
1250,4082.05,2.96
1251,4085.27,3.22
1252,4088.12,2.85
1253,4091.78,3.66
1254,4095.53,3.75
1255,4098.19,2.66
1256,4101.39,3.2
1257,4104.45,3.06
1258,4107.53,3.08
1259,4110.45,2.92
1260,4112.97,2.52
1261,4116.11,3.14
1262,4119.61,3.5
1263,4123.14,3.53
1264,4125.86,2.72
1265,4128.62,2.76
